group,run_id,session,market,seed,period,state,side,uninformed_level,re,mean_price,discovery,n_trades,first_price,last_price,first_discovery,last_discovery,change_discovery
ladder3,m7_lad3_45,0,A,45,6,X,buyer,260.0,360,322.4,0.624,19,290,335,0.3,0.75,0.45
ladder3,m7_lad3_45,0,A,45,7,Y,seller,260.0,160,323.7,-0.637,24,300,332,-0.4,-0.72,-0.32
ladder3,m7_lad3_45,0,A,45,8,X,buyer,260.0,360,343.3,0.833,21,340,330,0.8,0.7,-0.1
ladder3,m7_lad3_45,0,A,45,9,Y,seller,260.0,160,300.0,-0.4,22,299,301,-0.39,-0.41,-0.02
ladder3,m7_lad3_45,0,A,45,11,Y,seller,260.0,160,159.7,1.003,19,161,160,0.99,1.0,0.01
ladder3,m7_lad3_45,0,A,45,12,Y,seller,260.0,160,159.2,1.008,18,159,159,1.01,1.01,-0.0
ladder3,m7_lad3_45,0,A,45,13,X,buyer,260.0,360,357.0,0.97,20,350,359,0.9,0.99,0.09
ladder3,m8_lad3_42,0,B,42,5,Y,seller,300.0,200,239.8,0.602,6,280,199,0.2,1.01,0.81
ladder3,m8_lad3_42,0,B,42,6,Y,seller,300.0,200,199.5,1.005,17,199,199,1.01,1.01,-0.0
ladder3,m8_lad3_42,0,B,42,7,X,buyer,300.0,400,365.7,0.657,23,300,399,0.0,0.99,0.99
ladder3,m8_lad3_42,0,B,42,8,X,buyer,300.0,400,394.0,0.94,23,399,399,0.99,0.99,0.0
ladder3,m8_lad3_42,0,B,42,9,X,buyer,300.0,400,399.0,0.99,16,399,399,0.99,0.99,0.0
ladder3,m8_lad3_42,0,B,42,10,X,buyer,300.0,400,395.4,0.954,20,399,380,0.99,0.8,-0.19
ladder3,m8_lad3_42,0,B,42,11,X,buyer,300.0,400,399.0,0.99,16,399,399,0.99,0.99,0.0
ladder3,m8_lad3_42,0,B,42,12,X,buyer,300.0,400,399.1,0.991,20,399,400,0.99,1.0,0.01
ladder3,m8_lad3_42,0,B,42,13,Y,seller,300.0,200,260.3,0.397,23,400,199,-1.0,1.01,2.01
ladder3,m8_lad3_44,0,B,44,5,X,buyer,300.0,400,358.2,0.582,21,300,373,0.0,0.73,0.73
ladder3,m8_lad3_44,0,B,44,6,Y,seller,300.0,200,205.2,0.948,18,290,199,0.1,1.01,0.91
ladder3,m8_lad3_44,0,B,44,7,Y,seller,300.0,200,199.0,1.01,16,199,199,1.01,1.01,-0.0
ladder3,m8_lad3_44,0,B,44,8,Y,seller,300.0,200,199.0,1.01,16,199,199,1.01,1.01,-0.0
ladder3,m8_lad3_44,0,B,44,9,X,buyer,300.0,400,377.1,0.771,20,370,381,0.7,0.81,0.11
ladder3,m8_lad3_44,0,B,44,10,Y,seller,300.0,200,199.0,1.01,16,199,199,1.01,1.01,-0.0
ladder3,m8_lad3_44,0,B,44,11,X,buyer,300.0,400,382.2,0.822,17,370,382,0.7,0.82,0.12
ladder3,m8_lad3_44,0,B,44,12,Y,seller,300.0,200,199.0,1.01,16,199,199,1.01,1.01,-0.0
ladder3,m8_lad3_44,0,B,44,13,Y,seller,300.0,200,199.0,1.01,16,199,199,1.01,1.01,-0.0
m1,m1_paper_0,0,1,20250725,5,Y,buyer,283.3,320,283.6,0.008,18,275,285,-0.22615803814713933,0.04632152588555829,0.27247956403269763
m1,m1_paper_0,0,1,20250725,6,X,seller,283.3,272,281.0,0.206,12,280,284,0.2920353982300892,-0.06194690265486619,-0.3539823008849554
m1,m1_paper_0,0,1,20250725,7,Y,buyer,283.3,320,285.8,0.069,13,283,290,-0.008174386920981238,0.1825613079019071,0.19073569482288835
m1,m1_paper_0,0,1,20250725,8,Y,seller,283.3,262,282.5,0.039,12,280,282,0.1549295774647892,0.06103286384976576,-0.09389671361502343
m1,m1_paper_1,0,1,20250726,5,Y,buyer,283.3,320,283.2,-0.004,15,278,285,-0.14441416893733006,0.04632152588555829,0.19073569482288835
m1,m1_paper_1,0,1,20250726,6,X,seller,283.3,272,250.5,2.9,15,250,252,2.946902654867255,2.769911504424777,-0.1769911504424777
m1,m1_paper_1,0,1,20250726,7,Y,buyer,283.3,320,299.5,0.442,13,300,299,0.45504087193460474,0.42779291553133497,-0.02724795640326976
m1,m1_paper_1,0,1,20250726,8,Y,seller,283.3,262,280.0,0.156,11,280,280,0.1549295774647892,0.1549295774647892,-0.0
