group,run_id,session,market,seed,period,state,side,uninformed_level,re,mean_price,discovery,n_trades,first_price,last_price,first_discovery,last_discovery,change_discovery,sample
m3,m3_paper_0,0,3,20250745,4,X,buyer,220.0,400,260.1,0.223,17,250,275,0.16666666666666666,0.3055555555555556,0.1388888888888889,Original markets 1-5 (background)
m3,m3_paper_0,0,3,20250745,5,Y,seller,220.0,175,153.7,1.474,24,150,149,1.5555555555555556,1.5777777777777777,0.022222222222222223,Original markets 1-5 (background)
m3,m3_paper_0,0,3,20250745,6,Y,seller,220.0,175,160.5,1.322,25,160,170,1.3333333333333333,1.1111111111111112,-0.2222222222222222,Original markets 1-5 (background)
m3,m3_paper_0,0,3,20250745,7,X,buyer,220.0,400,250.0,0.167,20,250,250,0.16666666666666666,0.16666666666666666,0.0,Original markets 1-5 (background)
m3,m3_paper_0,0,3,20250745,8,Y,seller,220.0,175,164.5,1.234,19,160,174,1.3333333333333333,1.0222222222222221,-0.3111111111111111,Original markets 1-5 (background)
m3,m3_paper_0,0,3,20250745,9,X,buyer,220.0,400,248.8,0.16,26,250,200,0.16666666666666666,-0.1111111111111111,-0.2777777777777778,Original markets 1-5 (background)
m3,m3_paper_0,0,3,20250745,10,Y,seller,220.0,175,180.0,0.889,22,200,179,0.4444444444444444,0.9111111111111111,0.4666666666666667,Original markets 1-5 (background)
m3,m3_paper_1,0,3,20250746,3,Y,seller,220.0,175,193.5,0.588,11,200,179,0.4444444444444444,0.9111111111111111,0.4666666666666667,Original markets 1-5 (background)
m3,m3_paper_1,0,3,20250746,4,X,buyer,220.0,400,200.0,-0.111,16,200,200,-0.1111111111111111,-0.1111111111111111,0.0,Original markets 1-5 (background)
m3,m3_paper_1,0,3,20250746,5,Y,seller,220.0,175,176.5,0.967,18,170,176,1.1111111111111112,0.9777777777777777,-0.13333333333333333,Original markets 1-5 (background)
m3,m3_paper_1,0,3,20250746,6,Y,seller,220.0,175,166.2,1.194,24,165,150,1.2222222222222223,1.5555555555555556,0.3333333333333333,Original markets 1-5 (background)
m3,m3_paper_1,0,3,20250746,7,X,buyer,220.0,400,243.3,0.13,20,170,124,-0.2777777777777778,-0.5333333333333333,-0.25555555555555554,Original markets 1-5 (background)
m3,m3_paper_1,0,3,20250746,8,Y,seller,220.0,175,188.1,0.709,28,200,149,0.4444444444444444,1.5777777777777777,1.1333333333333333,Original markets 1-5 (background)
m3,m3_paper_1,0,3,20250746,9,X,buyer,220.0,400,228.1,0.045,19,200,144,-0.1111111111111111,-0.4222222222222222,-0.3111111111111111,Original markets 1-5 (background)
m3,m3_paper_1,0,3,20250746,10,Y,seller,220.0,175,174.4,1.014,29,200,90,0.4444444444444444,2.888888888888889,2.4444444444444446,Original markets 1-5 (background)
m3,m3_random_0,0,3,20250747,3,X,buyer,220.0,400,214.9,-0.029,21,210,217,-0.05555555555555555,-0.016666666666666666,0.03888888888888889,Original markets 1-5 (background)
m3,m3_random_0,0,3,20250747,4,X,buyer,220.0,400,251.7,0.176,19,250,256,0.16666666666666666,0.2,0.03333333333333333,Original markets 1-5 (background)
m3,m3_random_0,0,3,20250747,5,X,buyer,220.0,400,273.7,0.298,21,250,290,0.16666666666666666,0.3888888888888889,0.2222222222222222,Original markets 1-5 (background)
m3,m3_random_0,0,3,20250747,6,Y,seller,220.0,175,178.6,0.919,24,170,178,1.1111111111111112,0.9333333333333333,-0.17777777777777778,Original markets 1-5 (background)
