market,period,trade_index,n_trades_in_period,price,state,info,vbar,re_price,pi_price,side,D,separating,period_mean_recovered,period_mean_printed,mean_residual,quality_flag
1,11,5,19,350.0,Y,all,283.3333,349.0,349.0,buyer,1.01523,False,346.579,347.0,-0.421,ok
1,11,6,19,350.0,Y,all,283.3333,349.0,349.0,buyer,1.01523,False,346.579,347.0,-0.421,ok
1,11,7,19,350.0,Y,all,283.3333,349.0,349.0,buyer,1.01523,False,346.579,347.0,-0.421,ok
1,11,8,19,355.0,Y,all,283.3333,349.0,349.0,buyer,1.09137,False,346.579,347.0,-0.421,ok
1,11,9,19,350.0,Y,all,283.3333,349.0,349.0,buyer,1.01523,False,346.579,347.0,-0.421,ok
1,11,10,19,350.0,Y,all,283.3333,349.0,349.0,buyer,1.01523,False,346.579,347.0,-0.421,ok
1,11,11,19,345.0,Y,all,283.3333,349.0,349.0,buyer,0.93909,False,346.579,347.0,-0.421,ok
1,11,12,19,350.0,Y,all,283.3333,349.0,349.0,buyer,1.01523,False,346.579,347.0,-0.421,ok
1,11,13,19,350.0,Y,all,283.3333,349.0,349.0,buyer,1.01523,False,346.579,347.0,-0.421,ok
1,11,14,19,350.0,Y,all,283.3333,349.0,349.0,buyer,1.01523,False,346.579,347.0,-0.421,ok
1,11,15,19,350.0,Y,all,283.3333,349.0,349.0,buyer,1.01523,False,346.579,347.0,-0.421,ok
1,11,16,19,350.0,Y,all,283.3333,349.0,349.0,buyer,1.01523,False,346.579,347.0,-0.421,ok
1,11,17,19,345.0,Y,all,283.3333,349.0,349.0,buyer,0.93909,False,346.579,347.0,-0.421,ok
1,11,18,19,350.0,Y,all,283.3333,349.0,349.0,buyer,1.01523,False,346.579,347.0,-0.421,ok
1,11,19,19,345.0,Y,all,283.3333,349.0,349.0,buyer,0.93909,False,346.579,347.0,-0.421,ok
2,1,1,11,350.0,X,none,266.6667,267.0,267.0,,250.0,False,255.0,255.0,0.0,ok
2,1,2,11,300.0,X,none,266.6667,267.0,267.0,,100.0,False,255.0,255.0,0.0,ok
2,1,3,11,250.0,X,none,266.6667,267.0,267.0,,-50.0,False,255.0,255.0,0.0,ok
2,1,4,11,240.0,X,none,266.6667,267.0,267.0,,-80.0,False,255.0,255.0,0.0,ok
2,1,5,11,225.0,X,none,266.6667,267.0,267.0,,-125.0,False,255.0,255.0,0.0,ok
2,1,6,11,200.0,X,none,266.6667,267.0,267.0,,-200.0,False,255.0,255.0,0.0,ok
2,1,7,11,250.0,X,none,266.6667,267.0,267.0,,-50.0,False,255.0,255.0,0.0,ok
2,1,8,11,250.0,X,none,266.6667,267.0,267.0,,-50.0,False,255.0,255.0,0.0,ok
